6/11/2020  11:31 AM

Total aquisition time:  61.03 sec  
Bin width for correlator intensity data:  500.00 usec
Scan diamater: 0.40 mm
Scan speed:  0.50 mm/sec
Lasers Active:  488 @ 0.050 mW & 642 @ 0.050 mW
Laser modulation not active
Notes: 
diluted from 1000pM to 90pM of 100nm Tetraspeck beads
***end header***

Corr_I_A	Corr_I_B	Corr_I_C	

0	0	0
1	0	1
0	0	0
2	0	2
2	0	0
4	0	1
1	0	0
0	0	1
3	0	0
0	0	1
1	0	2
26	0	10
109	0	58
86	0	50
11	0	10
0	0	1
0	0	0
2	0	0
1	0	1
4	0	4
1	0	1
4	0	1
1	0	0
2	0	1
3	0	2
2	0	1
1	0	1
0	0	0
0	0	0
1	0	0
0	0	0
2	0	1
0	0	0
1	0	0
1	0	0
0	0	0
2	0	0
1	0	0
0	0	0
1	0	1
2	0	2
0	0	2
0	0	0
0	0	1
0	0	0
5	0	1
4	0	3
4	0	2
2	0	1
3	0	1
7	0	3
2	0	0
3	0	3
0	0	0
1	0	0
2	0	0
9	0	3
58	0	20
77	0	25
38	0	31
16	0	12
3	0	3
2	0	0
2	0	1
1	0	0
1	0	0
0	0	1
1	0	0
2	0	0
1	0	0
0	0	0
1	0	0
1	0	0
1	0	1
1	0	0
2	0	0
0	0	0
0	0	0
2	0	1
0	0	1
2	0	2
2	0	2
2	0	1
3	0	3
0	0	2
6	0	4
3	0	2
3	0	1
2	0	1
3	0	0
2	0	0
3	0	0
1	0	0
2	0	0
2	0	0
1	0	0
0	0	0
0	0	0
0	0	0
2	0	0
3	0	0
1	0	1
0	0	0
0	0	1
1	0	0
0	0	0
2	0	1
1	0	2
22	0	10
51	0	34
57	0	56
49	0	72
88	0	79
36	0	16
4	0	6
1	0	0
1	0	1
0	0	0
2	0	0
2	0	1
2	0	0
1	0	0
0	0	1
1	0	3
1	0	0
0	0	1
1	0	0
1	0	3
1	0	1
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	1
2	0	0
1	0	1
5	0	1
0	0	3
1	0	1
1	0	1
0	0	0
2	0	0
1	0	0
1	0	0
1	0	1
3	0	0
1	0	1
0	0	2
2	0	0
2	0	0
3	0	0
2	0	0
1	0	0
4	0	0
5	0	5
6	0	3
4	0	8
3	0	6
5	0	1
1	0	1
1	0	0
2	0	1
2	0	0
1	0	0
1	0	0
0	0	1
1	0	0
1	0	0
0	0	0
3	0	0
0	0	2
1	0	2
4	0	5
2	0	10
5	0	9
4	0	16
1	0	2
2	0	0
0	0	1
1	0	0
0	0	0
2	0	0
1	0	0
1	0	2
1	0	1
1	0	0
4	0	0
0	0	1
2	0	0
0	0	1
2	0	0
1	0	0
2	0	2
1	0	1
0	0	0
0	0	0
0	0	3
1	0	1
2	0	1
2	0	1
5	0	0
3	0	9
9	0	4
3	0	3
3	0	4
1	0	3
2	0	0
0	0	0
0	0	0
3	0	1
1	0	1
2	0	1
2	0	0
1	0	1
2	0	0
0	0	1
0	0	2
2	0	0
0	0	2
0	0	2
1	0	1
0	0	2
0	0	1
0	0	0
1	0	1
0	0	0
0	0	0
1	0	0
2	0	0
4	0	0
3	0	0
3	0	0
3	0	0
0	0	0
2	0	0
0	0	0
0	0	0
1	0	0
1	0	2
0	0	0
0	0	0
2	0	1
1	0	0
1	0	0
2	0	1
2	0	0
0	0	0
0	0	2
2	0	1
1	0	3
3	0	0
5	0	0
4	0	1
1	0	1
2	0	0
3	0	1
0	0	2
3	0	0
1	0	2
8	0	0
2	0	1
0	0	1
0	0	0
1	0	0
2	0	1
0	0	0
1	0	1
4	0	0
1	0	1
2	0	1
4	0	1
0	0	3
1	0	2
1	0	1
2	0	1
0	0	0
0	0	2
